,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
590,Liverpool,Fulham,8.0,13.0,54074.0,Anfield,dec,0.0,2012/13,2012,Liverpool,6.0,72.8,44570.0
591,Reading,Arsenal,20.0,5.0,24161.0,Madejski Stadium,dec,0.0,2012/13,2012,Reading,5.0,37.8,24125.0
592,Tottenham Hotspur,Swansea City,4.0,10.0,36284.0,White Hart Lane,dec,0.0,2012/13,2012,London,6.0,65.1,35783.0
593,West Bromwich Albion,West Ham United,7.0,11.0,26445.0,The Hawthorns,dec,0.0,2012/13,2012,West Bromwich,5.0,27.9,24816.0
594,Newcastle United,Manchester City,15.0,2.0,52305.0,St James' Park,dec,0.0,2012/13,2012,Newcastle,4.0,230.3,49579.0
595,Liverpool,Aston Villa,12.0,14.0,54074.0,Anfield,dec,0.0,2012/13,2012,Liverpool,6.0,72.8,44607.0
596,Manchester United,Sunderland,1.0,16.0,75643.0,Old Trafford,dec,0.0,2012/13,2012,Manchester,5.0,37.4,75582.0
597,Norwich City,Wigan Athletic,8.0,18.0,27359.0,Carrow Road,dec,0.0,2012/13,2012,Norwich,5.0,31.7,26677.0
598,Queens Park Rangers,Fulham,19.0,13.0,18439.0,Loftus Road,dec,1.0,2012/13,2012,London,6.0,65.1,18233.0
599,Stoke City,Everton,9.0,6.0,30089.0,bet365 Stadium,dec,0.0,2012/13,2012,Stoke,5.0,37.4,27008.0
600,Sunderland,Reading,15.0,19.0,48707.0,Stadium of Light,dec,0.0,2012/13,2012,Sunderland,4.0,22.9,37723.0
601,Fulham,Newcastle United,13.0,14.0,25700.0,Craven Cottage,dec,0.0,2012/13,2012,London,6.0,65.1,25270.0
602,Manchester City,Manchester United,2.0,1.0,53400.0,Etihad Stadium,dec,1.0,2012/13,2012,Manchester,5.0,37.4,47166.0
603,Everton,Tottenham Hotspur,4.0,5.0,39414.0,Goodison Park,dec,0.0,2012/13,2012,Liverpool,6.0,72.8,36494.0
604,West Ham United,Liverpool,11.0,10.0,35345.0,Boleyn Ground,dec,0.0,2012/13,2012,London,6.0,65.1,35005.0
605,Arsenal,West Bromwich Albion,7.0,6.0,60704.0,Emirates Stadium,dec,0.0,2012/13,2012,London,6.0,65.1,60083.0
606,Aston Villa,Stoke City,17.0,9.0,42749.0,Villa Park,dec,0.0,2012/13,2012,Birmingham,5.0,27.9,30110.0
607,Southampton,Reading,16.0,19.0,32384.0,The Friends Provident St Mary's Stadium,dec,0.0,2012/13,2012,Southampton,6.0,31.4,29331.0
608,Sunderland,Chelsea,15.0,3.0,48707.0,Stadium of Light,dec,0.0,2012/13,2012,Sunderland,4.0,22.9,39273.0
609,Swansea City,Norwich City,8.0,12.0,20937.0,Liberty Stadium,dec,0.0,2012/13,2012,Swansea,7.0,113.7,20294.0
610,Wigan Athletic,Queens Park Rangers,18.0,20.0,25138.0,DW Stadium,dec,0.0,2012/13,2012,Wigan,6.0,72.8,17163.0
611,Newcastle United,Wigan Athletic,14.0,16.0,52305.0,St James' Park,dec,0.0,2012/13,2012,Newcastle,4.0,230.3,43858.0
612,Norwich City,Sunderland,12.0,17.0,27359.0,Carrow Road,dec,0.0,2012/13,2012,Norwich,5.0,31.7,26228.0
613,Arsenal,Swansea City,10.0,7.0,60704.0,Emirates Stadium,dec,0.0,2012/13,2012,London,6.0,65.1,60098.0
614,Fulham,Tottenham Hotspur,13.0,4.0,25700.0,Craven Cottage,dec,1.0,2012/13,2012,London,6.0,65.1,25426.0
615,Liverpool,Southampton,11.0,18.0,54074.0,Anfield,dec,0.0,2012/13,2012,Liverpool,6.0,72.8,44525.0
616,Manchester City,Everton,2.0,6.0,53400.0,Etihad Stadium,dec,0.0,2012/13,2012,Manchester,5.0,37.4,47386.0
617,Queens Park Rangers,Aston Villa,20.0,15.0,18439.0,Loftus Road,dec,0.0,2012/13,2012,London,6.0,65.1,17387.0
618,West Bromwich Albion,Stoke City,5.0,9.0,26445.0,The Hawthorns,dec,0.0,2012/13,2012,West Bromwich,5.0,27.9,24739.0
619,Reading,Manchester United,19.0,1.0,24161.0,Madejski Stadium,dec,0.0,2012/13,2012,Reading,5.0,37.8,24095.0
620,West Ham United,Chelsea,8.0,3.0,35345.0,Boleyn Ground,dec,1.0,2012/13,2012,London,6.0,65.1,35005.0
621,Chelsea,Fulham,3.0,11.0,40834.0,Stamford Bridge,nov,1.0,2012/13,2012,London,9.0,72.0,41707.0
622,Everton,Arsenal,6.0,7.0,39414.0,Goodison Park,nov,0.0,2012/13,2012,Liverpool,8.0,67.8,37141.0
623,Southampton,Norwich City,18.0,13.0,32384.0,The Friends Provident St Mary's Stadium,nov,0.0,2012/13,2012,Southampton,8.0,28.4,29325.0
624,Stoke City,Newcastle United,9.0,14.0,30089.0,bet365 Stadium,nov,0.0,2012/13,2012,Stoke,7.0,35.8,26793.0
625,Swansea City,West Bromwich Albion,8.0,4.0,20937.0,Liberty Stadium,nov,0.0,2012/13,2012,Swansea,10.0,125.4,20377.0
626,Tottenham Hotspur,Liverpool,5.0,12.0,36284.0,White Hart Lane,nov,0.0,2012/13,2012,London,9.0,72.0,36162.0
627,Manchester United,West Ham United,1.0,10.0,75643.0,Old Trafford,nov,0.0,2012/13,2012,Manchester,7.0,35.8,75572.0
628,Wigan Athletic,Manchester City,15.0,2.0,25138.0,DW Stadium,nov,0.0,2012/13,2012,Wigan,8.0,67.8,19623.0
629,Sunderland,Queens Park Rangers,16.0,20.0,48707.0,Stadium of Light,nov,0.0,2012/13,2012,Sunderland,6.0,26.6,36513.0
630,Aston Villa,Reading,17.0,19.0,42749.0,Villa Park,nov,0.0,2012/13,2012,Birmingham,7.0,31.5,28692.0
631,Swansea City,Liverpool,9.0,11.0,20937.0,Liberty Stadium,nov,0.0,2012/13,2012,Swansea,10.0,125.4,20621.0
632,Southampton,Newcastle United,17.0,14.0,32384.0,The Friends Provident St Mary's Stadium,nov,0.0,2012/13,2012,Southampton,8.0,28.4,31410.0
633,Chelsea,Manchester City,4.0,2.0,40834.0,Stamford Bridge,nov,0.0,2012/13,2012,London,9.0,72.0,41792.0
634,Tottenham Hotspur,West Ham United,7.0,8.0,36284.0,White Hart Lane,nov,1.0,2012/13,2012,London,9.0,72.0,36043.0
